phylum	#KEY
MGYA00160025-DRS049574	countTable_biom2.tsv
MGYA00160026-DRS049549	countTable_biom2.tsv
MGYA00160027-DRS049584	countTable_biom2.tsv
MGYA00160028-DRS049546	countTable_biom2.tsv
MGYA00160029-DRS049565	countTable_biom2.tsv
MGYA00160030-DRS049562	countTable_biom2.tsv
MGYA00160031-DRS049528	countTable_biom2.tsv
MGYA00160032-DRS049585	countTable_biom2.tsv
MGYA00160033-DRS049560	countTable_biom2.tsv
MGYA00160034-DRS049575	countTable_biom2.tsv
MGYA00160035-DRS049586	countTable_biom2.tsv
MGYA00160036-DRS049547	countTable_biom2.tsv
MGYA00160037-DRS049587	countTable_biom2.tsv
MGYA00160038-DRS049576	countTable_biom2.tsv
MGYA00160039-DRS049580	countTable_biom2.tsv
MGYA00160040-DRS049583	countTable_biom2.tsv
MGYA00160041-DRS049550	countTable_biom2.tsv
MGYA00160042-DRS049591	countTable_biom2.tsv
MGYA00160043-DRS049582	countTable_biom2.tsv
MGYA00160044-DRS049588	countTable_biom2.tsv
MGYA00160045-DRS049557	countTable_biom2.tsv
MGYA00160046-DRS049543	countTable_biom2.tsv
MGYA00160047-DRS049556	countTable_biom2.tsv
MGYA00160048-DRS049552	countTable_biom2.tsv
MGYA00160049-DRS049569	countTable_biom2.tsv
MGYA00160050-DRS049529	countTable_biom2.tsv
MGYA00168224-DRS020339	countTable_biom2.tsv
MGYA00168225-DRS020325	countTable_biom2.tsv
MGYA00168226-DRS020225	countTable_biom2.tsv
MGYA00168227-DRS020211	countTable_biom2.tsv
MGYA00168228-DRS020340	countTable_biom2.tsv
MGYA00168229-DRS020210	countTable_biom2.tsv
MGYA00168230-DRS020235	countTable_biom2.tsv
MGYA00168231-DRS020285	countTable_biom2.tsv
MGYA00168232-DRS020320	countTable_biom2.tsv
MGYA00168233-DRS020342	countTable_biom2.tsv
MGYA00168234-DRS020337	countTable_biom2.tsv
MGYA00168235-DRS020228	countTable_biom2.tsv
MGYA00168236-DRS020308	countTable_biom2.tsv
MGYA00168237-DRS020266	countTable_biom2.tsv
MGYA00168238-DRS020232	countTable_biom2.tsv
MGYA00168239-DRS020355	countTable_biom2.tsv
MGYA00168240-DRS020275	countTable_biom2.tsv
MGYA00168241-DRS020306	countTable_biom2.tsv
MGYA00168242-DRS020244	countTable_biom2.tsv
MGYA00168243-DRS020348	countTable_biom2.tsv
MGYA00168244-DRS020345	countTable_biom2.tsv
MGYA00168245-DRS020294	countTable_biom2.tsv
MGYA00168246-DRS020272	countTable_biom2.tsv
MGYA00168247-DRS020236	countTable_biom2.tsv
MGYA00168248-DRS020194	countTable_biom2.tsv
MGYA00168249-DRS020233	countTable_biom2.tsv
MGYA00168250-DRS020307	countTable_biom2.tsv
MGYA00168251-DRS020303	countTable_biom2.tsv
MGYA00168252-DRS020298	countTable_biom2.tsv
MGYA00168253-DRS020218	countTable_biom2.tsv
MGYA00168254-DRS020333	countTable_biom2.tsv
MGYA00168255-DRS020202	countTable_biom2.tsv
MGYA00168256-DRS020220	countTable_biom2.tsv
MGYA00168257-DRS020288	countTable_biom2.tsv
MGYA00168258-DRS020231	countTable_biom2.tsv
MGYA00168259-DRS020269	countTable_biom2.tsv
MGYA00168260-DRS020245	countTable_biom2.tsv
MGYA00168261-DRS020274	countTable_biom2.tsv
MGYA00168262-DRS020257	countTable_biom2.tsv
MGYA00168263-DRS020227	countTable_biom2.tsv
MGYA00168264-DRS020201	countTable_biom2.tsv
MGYA00168265-DRS020237	countTable_biom2.tsv
MGYA00168266-DRS020276	countTable_biom2.tsv
MGYA00168267-DRS020287	countTable_biom2.tsv
MGYA00168268-DRS020317	countTable_biom2.tsv
MGYA00168269-DRS020283	countTable_biom2.tsv
MGYA00168270-DRS020331	countTable_biom2.tsv
MGYA00168271-DRS020322	countTable_biom2.tsv
MGYA00168272-DRS020203	countTable_biom2.tsv
MGYA00168273-DRS020200	countTable_biom2.tsv
MGYA00168274-DRS020223	countTable_biom2.tsv
MGYA00168275-DRS020254	countTable_biom2.tsv
MGYA00168276-DRS020193	countTable_biom2.tsv
MGYA00168277-DRS020195	countTable_biom2.tsv
MGYA00168278-DRS020321	countTable_biom2.tsv
MGYA00168279-DRS020260	countTable_biom2.tsv
MGYA00168280-DRS020359	countTable_biom2.tsv
MGYA00168281-DRS020315	countTable_biom2.tsv
MGYA00168282-DRS020346	countTable_biom2.tsv
MGYA00168283-DRS020230	countTable_biom2.tsv
MGYA00168284-DRS020197	countTable_biom2.tsv
MGYA00168285-DRS020341	countTable_biom2.tsv
MGYA00168286-DRS020290	countTable_biom2.tsv
MGYA00168287-DRS020311	countTable_biom2.tsv
MGYA00168288-DRS020215	countTable_biom2.tsv
MGYA00168289-DRS020226	countTable_biom2.tsv
MGYA00168290-DRS020299	countTable_biom2.tsv
MGYA00168291-DRS020310	countTable_biom2.tsv
MGYA00168292-DRS020273	countTable_biom2.tsv
MGYA00168293-DRS020286	countTable_biom2.tsv
MGYA00168294-DRS020239	countTable_biom2.tsv
MGYA00168295-DRS020259	countTable_biom2.tsv
MGYA00168296-DRS020326	countTable_biom2.tsv
MGYA00168297-DRS020196	countTable_biom2.tsv
MGYA00168298-DRS020262	countTable_biom2.tsv
MGYA00168299-DRS020213	countTable_biom2.tsv
MGYA00168300-DRS020216	countTable_biom2.tsv
MGYA00168301-DRS020255	countTable_biom2.tsv
MGYA00168302-DRS020353	countTable_biom2.tsv
MGYA00168303-DRS020293	countTable_biom2.tsv
MGYA00168304-DRS020206	countTable_biom2.tsv
MGYA00168305-DRS020222	countTable_biom2.tsv
MGYA00168306-DRS020279	countTable_biom2.tsv
MGYA00168307-DRS020343	countTable_biom2.tsv
MGYA00168308-DRS020265	countTable_biom2.tsv
MGYA00168309-DRS020191	countTable_biom2.tsv
MGYA00168310-DRS020327	countTable_biom2.tsv
MGYA00168311-DRS020323	countTable_biom2.tsv
MGYA00168312-DRS020214	countTable_biom2.tsv
MGYA00168313-DRS020319	countTable_biom2.tsv
MGYA00168314-DRS020251	countTable_biom2.tsv
MGYA00168315-DRS020302	countTable_biom2.tsv
MGYA00168316-DRS020205	countTable_biom2.tsv
MGYA00168317-DRS020207	countTable_biom2.tsv
MGYA00168318-DRS020329	countTable_biom2.tsv
MGYA00168319-DRS020212	countTable_biom2.tsv
MGYA00168320-DRS020219	countTable_biom2.tsv
MGYA00168321-DRS020350	countTable_biom2.tsv
MGYA00168322-DRS020324	countTable_biom2.tsv
MGYA00168323-DRS020204	countTable_biom2.tsv
MGYA00168324-DRS020347	countTable_biom2.tsv
MGYA00168325-DRS020267	countTable_biom2.tsv
MGYA00168326-DRS020295	countTable_biom2.tsv
MGYA00168327-DRS020243	countTable_biom2.tsv
MGYA00168328-DRS020349	countTable_biom2.tsv
MGYA00168329-DRS020296	countTable_biom2.tsv
MGYA00168330-DRS020330	countTable_biom2.tsv
MGYA00168331-DRS020268	countTable_biom2.tsv
MGYA00168332-DRS020354	countTable_biom2.tsv
MGYA00168333-DRS020352	countTable_biom2.tsv
MGYA00168334-DRS020328	countTable_biom2.tsv
MGYA00168335-DRS020292	countTable_biom2.tsv
MGYA00168336-DRS020234	countTable_biom2.tsv
MGYA00168337-DRS020297	countTable_biom2.tsv
MGYA00168338-DRS020291	countTable_biom2.tsv
MGYA00168339-DRS020284	countTable_biom2.tsv
MGYA00168340-DRS020192	countTable_biom2.tsv
MGYA00168341-DRS020313	countTable_biom2.tsv
MGYA00168342-DRS020209	countTable_biom2.tsv
MGYA00168343-DRS020357	countTable_biom2.tsv
MGYA00168344-DRS020301	countTable_biom2.tsv
MGYA00168345-DRS020250	countTable_biom2.tsv
MGYA00168346-DRS020344	countTable_biom2.tsv
MGYA00168347-DRS020241	countTable_biom2.tsv
MGYA00168348-DRS020335	countTable_biom2.tsv
MGYA00168349-DRS020270	countTable_biom2.tsv
MGYA00168350-DRS020282	countTable_biom2.tsv
MGYA00168351-DRS020246	countTable_biom2.tsv
MGYA00168352-DRS020360	countTable_biom2.tsv
MGYA00168353-DRS020249	countTable_biom2.tsv
MGYA00168354-DRS020305	countTable_biom2.tsv
MGYA00168355-DRS020314	countTable_biom2.tsv
MGYA00168356-DRS020356	countTable_biom2.tsv
MGYA00168357-DRS020229	countTable_biom2.tsv
MGYA00168358-DRS020309	countTable_biom2.tsv
MGYA00168359-DRS020248	countTable_biom2.tsv
MGYA00168360-DRS020258	countTable_biom2.tsv
MGYA00168361-DRS020252	countTable_biom2.tsv
MGYA00168362-DRS020240	countTable_biom2.tsv
MGYA00168363-DRS020316	countTable_biom2.tsv
MGYA00168364-DRS020304	countTable_biom2.tsv
MGYA00168365-DRS020261	countTable_biom2.tsv
MGYA00168366-DRS020253	countTable_biom2.tsv
MGYA00168367-DRS020217	countTable_biom2.tsv
MGYA00168368-DRS020332	countTable_biom2.tsv
MGYA00168369-DRS020351	countTable_biom2.tsv
MGYA00168370-DRS020271	countTable_biom2.tsv
MGYA00168371-DRS020334	countTable_biom2.tsv
MGYA00168372-DRS020247	countTable_biom2.tsv
MGYA00168373-DRS020238	countTable_biom2.tsv
MGYA00168374-DRS020242	countTable_biom2.tsv
MGYA00168375-DRS020277	countTable_biom2.tsv
MGYA00168376-DRS020281	countTable_biom2.tsv
MGYA00168377-DRS020208	countTable_biom2.tsv
MGYA00168378-DRS020264	countTable_biom2.tsv
MGYA00168379-DRS020338	countTable_biom2.tsv
MGYA00168380-DRS020256	countTable_biom2.tsv
MGYA00168381-DRS020278	countTable_biom2.tsv
MGYA00168382-DRS020221	countTable_biom2.tsv
MGYA00168383-DRS020312	countTable_biom2.tsv
MGYA00168384-DRS020300	countTable_biom2.tsv
MGYA00168385-DRS020280	countTable_biom2.tsv
MGYA00168386-DRS020224	countTable_biom2.tsv
MGYA00168387-DRS020318	countTable_biom2.tsv
MGYA00168388-DRS020289	countTable_biom2.tsv
MGYA00168389-DRS020336	countTable_biom2.tsv
MGYA00168390-DRS020199	countTable_biom2.tsv
MGYA00168391-DRS020263	countTable_biom2.tsv
MGYA00168392-DRS020358	countTable_biom2.tsv
MGYA00168393-DRS020198	countTable_biom2.tsv
MGYA00168487-DRS029413	countTable_biom2.tsv
MGYA00168488-DRS029354	countTable_biom2.tsv
MGYA00168489-DRS029282	countTable_biom2.tsv
MGYA00168490-DRS029258	countTable_biom2.tsv
MGYA00168491-DRS029411	countTable_biom2.tsv
MGYA00168492-DRS029366	countTable_biom2.tsv
MGYA00168493-DRS029394	countTable_biom2.tsv
MGYA00168494-DRS029257	countTable_biom2.tsv
MGYA00168495-DRS029248	countTable_biom2.tsv
MGYA00168496-DRS029405	countTable_biom2.tsv
MGYA00168497-DRS029382	countTable_biom2.tsv
MGYA00168498-DRS029418	countTable_biom2.tsv
MGYA00168499-DRS029232	countTable_biom2.tsv
MGYA00168500-DRS029317	countTable_biom2.tsv
MGYA00168501-DRS029283	countTable_biom2.tsv
MGYA00168502-DRS029389	countTable_biom2.tsv
MGYA00168503-DRS029263	countTable_biom2.tsv
MGYA00168504-DRS029415	countTable_biom2.tsv
MGYA00168505-DRS029343	countTable_biom2.tsv
MGYA00168506-DRS029316	countTable_biom2.tsv
MGYA00168507-DRS029236	countTable_biom2.tsv
MGYA00168508-DRS029410	countTable_biom2.tsv
MGYA00168509-DRS029392	countTable_biom2.tsv
MGYA00168510-DRS029311	countTable_biom2.tsv
MGYA00168511-DRS029341	countTable_biom2.tsv
MGYA00168512-DRS029367	countTable_biom2.tsv
MGYA00168513-DRS029322	countTable_biom2.tsv
MGYA00168514-DRS029313	countTable_biom2.tsv
MGYA00168515-DRS029285	countTable_biom2.tsv
MGYA00168516-DRS029338	countTable_biom2.tsv
MGYA00168517-DRS029348	countTable_biom2.tsv
MGYA00168518-DRS029281	countTable_biom2.tsv
MGYA00168519-DRS029264	countTable_biom2.tsv
MGYA00168520-DRS029234	countTable_biom2.tsv
MGYA00168521-DRS029388	countTable_biom2.tsv
MGYA00168522-DRS029306	countTable_biom2.tsv
MGYA00168523-DRS029393	countTable_biom2.tsv
MGYA00168524-DRS029332	countTable_biom2.tsv
MGYA00168525-DRS029297	countTable_biom2.tsv
MGYA00168526-DRS029414	countTable_biom2.tsv
MGYA00168527-DRS029350	countTable_biom2.tsv
MGYA00168528-DRS029290	countTable_biom2.tsv
MGYA00168529-DRS029361	countTable_biom2.tsv
MGYA00168530-DRS029373	countTable_biom2.tsv
MGYA00168531-DRS029274	countTable_biom2.tsv
MGYA00168532-DRS029383	countTable_biom2.tsv
MGYA00168533-DRS029246	countTable_biom2.tsv
MGYA00168534-DRS029308	countTable_biom2.tsv
MGYA00168535-DRS029271	countTable_biom2.tsv
MGYA00168536-DRS029278	countTable_biom2.tsv
MGYA00168537-DRS029326	countTable_biom2.tsv
MGYA00168538-DRS029245	countTable_biom2.tsv
MGYA00168539-DRS029319	countTable_biom2.tsv
MGYA00168540-DRS029401	countTable_biom2.tsv
MGYA00168541-DRS029352	countTable_biom2.tsv
MGYA00168542-DRS029305	countTable_biom2.tsv
MGYA00168543-DRS029265	countTable_biom2.tsv
MGYA00168544-DRS029298	countTable_biom2.tsv
MGYA00168545-DRS029253	countTable_biom2.tsv
MGYA00168546-DRS029398	countTable_biom2.tsv
MGYA00168547-DRS029364	countTable_biom2.tsv
MGYA00168548-DRS029363	countTable_biom2.tsv
MGYA00168549-DRS029356	countTable_biom2.tsv
MGYA00168550-DRS029309	countTable_biom2.tsv
MGYA00168551-DRS029252	countTable_biom2.tsv
MGYA00168552-DRS029299	countTable_biom2.tsv
MGYA00168553-DRS029374	countTable_biom2.tsv
MGYA00168554-DRS029269	countTable_biom2.tsv
MGYA00168555-DRS029287	countTable_biom2.tsv
MGYA00168556-DRS029399	countTable_biom2.tsv
MGYA00168557-DRS029288	countTable_biom2.tsv
MGYA00168558-DRS029380	countTable_biom2.tsv
MGYA00168559-DRS029310	countTable_biom2.tsv
MGYA00168560-DRS029266	countTable_biom2.tsv
MGYA00168561-DRS029339	countTable_biom2.tsv
MGYA00168562-DRS029335	countTable_biom2.tsv
MGYA00168563-DRS029260	countTable_biom2.tsv
MGYA00168564-DRS029344	countTable_biom2.tsv
MGYA00168565-DRS029237	countTable_biom2.tsv
MGYA00168566-DRS029261	countTable_biom2.tsv
MGYA00168567-DRS029412	countTable_biom2.tsv
MGYA00168568-DRS029276	countTable_biom2.tsv
MGYA00168569-DRS029329	countTable_biom2.tsv
MGYA00168570-DRS029247	countTable_biom2.tsv
MGYA00168571-DRS029353	countTable_biom2.tsv
MGYA00168572-DRS029359	countTable_biom2.tsv
MGYA00168573-DRS029307	countTable_biom2.tsv
MGYA00168574-DRS029384	countTable_biom2.tsv
MGYA00168575-DRS029377	countTable_biom2.tsv
MGYA00168576-DRS029365	countTable_biom2.tsv
MGYA00168577-DRS029279	countTable_biom2.tsv
MGYA00168578-DRS029355	countTable_biom2.tsv
MGYA00168579-DRS029243	countTable_biom2.tsv
MGYA00168580-DRS029369	countTable_biom2.tsv
MGYA00168581-DRS029280	countTable_biom2.tsv
MGYA00168582-DRS029229	countTable_biom2.tsv
MGYA00168583-DRS029270	countTable_biom2.tsv
MGYA00168584-DRS029371	countTable_biom2.tsv
MGYA00168585-DRS029321	countTable_biom2.tsv
MGYA00168586-DRS029385	countTable_biom2.tsv
MGYA00168587-DRS029334	countTable_biom2.tsv
MGYA00168588-DRS029325	countTable_biom2.tsv
MGYA00168589-DRS029378	countTable_biom2.tsv
MGYA00168590-DRS029268	countTable_biom2.tsv
MGYA00168591-DRS029368	countTable_biom2.tsv
MGYA00168592-DRS029404	countTable_biom2.tsv
MGYA00168593-DRS029284	countTable_biom2.tsv
MGYA00168594-DRS029358	countTable_biom2.tsv
MGYA00168595-DRS029390	countTable_biom2.tsv
MGYA00168596-DRS029228	countTable_biom2.tsv
MGYA00168597-DRS029333	countTable_biom2.tsv
MGYA00168598-DRS029396	countTable_biom2.tsv
MGYA00168599-DRS029292	countTable_biom2.tsv
MGYA00168600-DRS029324	countTable_biom2.tsv
MGYA00168601-DRS029275	countTable_biom2.tsv
MGYA00168602-DRS029391	countTable_biom2.tsv
MGYA00168603-DRS029238	countTable_biom2.tsv
MGYA00168604-DRS029340	countTable_biom2.tsv
MGYA00168605-DRS029301	countTable_biom2.tsv
MGYA00168606-DRS029255	countTable_biom2.tsv
MGYA00168607-DRS029240	countTable_biom2.tsv
MGYA00168608-DRS029267	countTable_biom2.tsv
MGYA00168609-DRS029295	countTable_biom2.tsv
MGYA00168610-DRS029408	countTable_biom2.tsv
MGYA00168611-DRS029328	countTable_biom2.tsv
MGYA00168612-DRS029314	countTable_biom2.tsv
MGYA00168613-DRS029421	countTable_biom2.tsv
MGYA00168614-DRS029331	countTable_biom2.tsv
MGYA00168615-DRS029417	countTable_biom2.tsv
MGYA00168616-DRS029351	countTable_biom2.tsv
MGYA00168617-DRS029403	countTable_biom2.tsv
MGYA00168618-DRS029406	countTable_biom2.tsv
MGYA00168619-DRS029233	countTable_biom2.tsv
MGYA00168620-DRS029293	countTable_biom2.tsv
MGYA00168621-DRS029400	countTable_biom2.tsv
MGYA00168622-DRS029303	countTable_biom2.tsv
MGYA00168623-DRS029296	countTable_biom2.tsv
MGYA00168624-DRS029409	countTable_biom2.tsv
MGYA00168625-DRS029419	countTable_biom2.tsv
MGYA00168626-DRS029370	countTable_biom2.tsv
MGYA00168627-DRS029244	countTable_biom2.tsv
MGYA00168628-DRS029397	countTable_biom2.tsv
MGYA00168629-DRS029315	countTable_biom2.tsv
MGYA00168630-DRS029302	countTable_biom2.tsv
MGYA00168631-DRS029381	countTable_biom2.tsv
MGYA00168632-DRS029251	countTable_biom2.tsv
MGYA00168633-DRS029272	countTable_biom2.tsv
MGYA00168634-DRS029262	countTable_biom2.tsv
MGYA00168635-DRS029420	countTable_biom2.tsv
MGYA00168636-DRS029294	countTable_biom2.tsv
MGYA00168637-DRS029376	countTable_biom2.tsv
MGYA00168638-DRS029357	countTable_biom2.tsv
MGYA00168639-DRS029387	countTable_biom2.tsv
MGYA00168640-DRS029379	countTable_biom2.tsv
MGYA00168641-DRS029386	countTable_biom2.tsv
MGYA00168642-DRS029330	countTable_biom2.tsv
MGYA00168643-DRS029273	countTable_biom2.tsv
MGYA00168644-DRS029254	countTable_biom2.tsv
MGYA00168645-DRS029416	countTable_biom2.tsv
MGYA00168646-DRS029249	countTable_biom2.tsv
MGYA00168647-DRS029259	countTable_biom2.tsv
MGYA00168648-DRS029336	countTable_biom2.tsv
MGYA00168649-DRS029235	countTable_biom2.tsv
MGYA00168650-DRS029362	countTable_biom2.tsv
MGYA00168651-DRS029231	countTable_biom2.tsv
MGYA00168652-DRS029318	countTable_biom2.tsv
MGYA00168653-DRS029239	countTable_biom2.tsv
MGYA00168654-DRS029242	countTable_biom2.tsv
MGYA00168655-DRS029342	countTable_biom2.tsv
MGYA00168656-DRS029256	countTable_biom2.tsv
MGYA00168657-DRS029304	countTable_biom2.tsv
MGYA00168658-DRS029312	countTable_biom2.tsv
MGYA00168659-DRS029375	countTable_biom2.tsv
MGYA00168660-DRS029360	countTable_biom2.tsv
MGYA00168661-DRS029349	countTable_biom2.tsv
MGYA00168662-DRS029407	countTable_biom2.tsv
MGYA00168663-DRS029346	countTable_biom2.tsv
MGYA00168664-DRS029230	countTable_biom2.tsv
MGYA00168665-DRS029320	countTable_biom2.tsv
MGYA00168666-DRS029402	countTable_biom2.tsv
MGYA00168667-DRS029241	countTable_biom2.tsv
MGYA00168668-DRS029337	countTable_biom2.tsv
MGYA00168669-DRS029327	countTable_biom2.tsv
MGYA00168670-DRS029291	countTable_biom2.tsv
MGYA00168671-DRS029323	countTable_biom2.tsv
MGYA00168672-DRS029277	countTable_biom2.tsv
MGYA00168673-DRS029395	countTable_biom2.tsv
MGYA00168674-DRS029347	countTable_biom2.tsv
MGYA00168675-DRS029345	countTable_biom2.tsv
MGYA00168676-DRS029250	countTable_biom2.tsv
MGYA00168677-DRS029300	countTable_biom2.tsv
MGYA00168678-DRS029289	countTable_biom2.tsv
MGYA00168679-DRS029286	countTable_biom2.tsv
MGYA00168680-DRS029372	countTable_biom2.tsv
MGYA00185663-ERS2517180	countTable_biom2.tsv
MGYA00185664-ERS2517188	countTable_biom2.tsv
MGYA00185665-ERS2517228	countTable_biom2.tsv
MGYA00185666-ERS2517189	countTable_biom2.tsv
MGYA00185667-ERS2517209	countTable_biom2.tsv
MGYA00185668-ERS2517223	countTable_biom2.tsv
MGYA00185669-ERS2517176	countTable_biom2.tsv
MGYA00185670-ERS2517210	countTable_biom2.tsv
MGYA00185671-ERS2517201	countTable_biom2.tsv
MGYA00185672-ERS2517171	countTable_biom2.tsv
MGYA00185673-ERS2517182	countTable_biom2.tsv
MGYA00185674-ERS2517204	countTable_biom2.tsv
MGYA00185675-ERS2517174	countTable_biom2.tsv
MGYA00185676-ERS2517186	countTable_biom2.tsv
MGYA00185677-ERS2517194	countTable_biom2.tsv
MGYA00185678-ERS2517190	countTable_biom2.tsv
MGYA00185679-ERS2517172	countTable_biom2.tsv
MGYA00185680-ERS2517208	countTable_biom2.tsv
MGYA00185681-ERS2517195	countTable_biom2.tsv
MGYA00185682-ERS2517198	countTable_biom2.tsv
MGYA00185683-ERS2517203	countTable_biom2.tsv
MGYA00185684-ERS2517191	countTable_biom2.tsv
MGYA00185685-ERS2517181	countTable_biom2.tsv
MGYA00185686-ERS2517185	countTable_biom2.tsv
MGYA00185687-ERS2517187	countTable_biom2.tsv
MGYA00185688-ERS2517207	countTable_biom2.tsv
MGYA00185689-ERS2517226	countTable_biom2.tsv
MGYA00185690-ERS2517169	countTable_biom2.tsv
MGYA00185691-ERS2517183	countTable_biom2.tsv
MGYA00185692-ERS2517178	countTable_biom2.tsv
MGYA00185693-ERS2517215	countTable_biom2.tsv
MGYA00185694-ERS2517219	countTable_biom2.tsv
MGYA00185695-ERS2517177	countTable_biom2.tsv
MGYA00185696-ERS2517202	countTable_biom2.tsv
MGYA00185697-ERS2517211	countTable_biom2.tsv
MGYA00185698-ERS2517213	countTable_biom2.tsv
MGYA00185699-ERS2517222	countTable_biom2.tsv
MGYA00185700-ERS2517224	countTable_biom2.tsv
MGYA00185701-ERS2517206	countTable_biom2.tsv
MGYA00185702-ERS2517199	countTable_biom2.tsv
MGYA00185703-ERS2517173	countTable_biom2.tsv
MGYA00185704-ERS2517193	countTable_biom2.tsv
MGYA00185705-ERS2517227	countTable_biom2.tsv
MGYA00185706-ERS2517197	countTable_biom2.tsv
MGYA00185707-ERS2517170	countTable_biom2.tsv
MGYA00185708-ERS2517216	countTable_biom2.tsv
MGYA00185709-ERS2517196	countTable_biom2.tsv
MGYA00185710-ERS2517175	countTable_biom2.tsv
MGYA00185711-ERS2517205	countTable_biom2.tsv
MGYA00185712-ERS2517214	countTable_biom2.tsv
MGYA00185713-ERS2517192	countTable_biom2.tsv
MGYA00185714-ERS2517179	countTable_biom2.tsv
MGYA00185715-ERS2517184	countTable_biom2.tsv
MGYA00185716-ERS2517225	countTable_biom2.tsv
MGYA00185717-ERS2517220	countTable_biom2.tsv
MGYA00185718-ERS2517218	countTable_biom2.tsv
MGYA00185719-ERS2517212	countTable_biom2.tsv
MGYA00185720-ERS2517200	countTable_biom2.tsv
MGYA00185721-ERS2517217	countTable_biom2.tsv
MGYA00185722-ERS2517221	countTable_biom2.tsv
MGYA00150951-SRS1027321	countTable_biom1.tsv
MGYA00150952-SRS1027361	countTable_biom1.tsv
MGYA00150953-SRS1027301	countTable_biom1.tsv
MGYA00150954-SRS1027387	countTable_biom1.tsv
MGYA00150955-SRS1027370	countTable_biom1.tsv
MGYA00150956-SRS1027369	countTable_biom1.tsv
MGYA00150957-SRS1027293	countTable_biom1.tsv
MGYA00150958-SRS1027347	countTable_biom1.tsv
MGYA00150959-SRS1027326	countTable_biom1.tsv
MGYA00150960-SRS1027382	countTable_biom1.tsv
MGYA00150961-SRS1027329	countTable_biom1.tsv
MGYA00150962-SRS1027291	countTable_biom1.tsv
MGYA00150963-SRS1027392	countTable_biom1.tsv
MGYA00150964-SRS1027373	countTable_biom1.tsv
MGYA00150965-SRS1027408	countTable_biom1.tsv
MGYA00150966-SRS1027377	countTable_biom1.tsv
MGYA00150967-SRS1027317	countTable_biom1.tsv
MGYA00150968-SRS1027386	countTable_biom1.tsv
MGYA00150969-SRS1027405	countTable_biom1.tsv
MGYA00150970-SRS1027295	countTable_biom1.tsv
MGYA00150971-SRS1027393	countTable_biom1.tsv
MGYA00150972-SRS1027371	countTable_biom1.tsv
MGYA00150973-SRS1027403	countTable_biom1.tsv
MGYA00150974-SRS1027391	countTable_biom1.tsv
MGYA00150975-SRS1027304	countTable_biom1.tsv
MGYA00150976-SRS1027402	countTable_biom1.tsv
MGYA00150977-SRS1027346	countTable_biom1.tsv
MGYA00150978-SRS1027366	countTable_biom1.tsv
MGYA00150979-SRS1027313	countTable_biom1.tsv
MGYA00150980-SRS1027325	countTable_biom1.tsv
MGYA00150981-SRS1027309	countTable_biom1.tsv
MGYA00150982-SRS1027413	countTable_biom1.tsv
MGYA00150983-SRS1027396	countTable_biom1.tsv
