kingdom	phylum	ERR3265063	ERR3265064	ERR3265065	ERR3265066	ERR3265067	ERR3265068	ERR3265069	ERR3265070	ERR3265071	ERR3265072	ERR3265073	ERR3265074	ERR3265075	ERR3265076	ERR3265077	ERR3265078	ERR3265079	ERR3265080	ERR3265081	ERR3265082	ERR3265083	ERR3265084	ERR3265085	ERR3265086	ERR3265087	ERR3265088	ERR3265089	ERR3265090	ERR3265091	ERR3265092	ERR3265093	ERR3265094	ERR3265095	ERR3265096	ERR3265097	ERR3265098	ERR3265099	ERR3265100	ERR3265101	ERR3265102	ERR3323781	ERR3323782	ERR3323783	ERR3323784
Bacteria	Fusobacteria	1	2	4	0	0	0	1	0	1	2	2	2	3	1	0	1	0	1	2	0	2	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria	Gemmatimonadetes	2381	2441	2305	3706	5723	2716	2173	3278	10530	12559	4124	8272	13595	2778	3434	6054	6576	1444	8475	4066	7227	2197	3965	3134	2226	2651	6567	2511	8726	2150	3286	8123	0	0	0	0	0	0	0	0	884	5033	3398	3846
Bacteria	Ignavibacteriae	17	36	50	94	66	48	35	71	140	182	70	82	142	30	69	54	72	29	111	39	165	56	25	28	32	38	38	32	56	18	22	73	0	1	0	0	0	0	0	0	19	111	56	36
Bacteria	Kiritimatiellaeota	0	0	0	5	0	1	0	0	0	3	2	1	5	3	7	0	2	2	1	0	9	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	9	1
Bacteria	Lentisphaerae	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Nitrospinae	0	1	1	0	1	0	0	0	1	2	0	0	1	0	0	0	2	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria	Nitrospirae	130	207	166	629	325	165	130	373	679	870	720	392	606	261	354	298	361	221	508	181	947	282	173	123	100	176	340	113	489	178	149	327	0	0	0	0	0	0	0	0	117	839	493	266
Bacteria	Planctomycetes	1010	1113	1101	2398	2078	993	797	1838	4458	4431	2426	3043	4849	1260	1914	2204	1757	1033	2718	1014	4366	1171	1304	818	900	1156	2151	936	2352	727	721	2270	0	0	0	0	0	0	0	0	654	2784	2276	1396
Bacteria	Proteobacteria	11183	13255	11983	23675	22796	12553	11689	23930	65012	53858	31529	37965	52916	16534	18280	22759	29204	11636	30869	11534	48622	11665	17335	9097	11118	11128	21582	8497	36833	9300	16681	26775	4	45	12	2	7	7	7	28	7001	30724	24733	20253
Bacteria	Rhodothermaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Spirochaetes	0	0	1	6	1	9	0	3	31	14	2	20	4	0	2	14	75	5	31	9	13	3	9	15	0	1	14	0	25	1	0	1	0	1	0	0	0	0	0	0	1	6	29	18
Bacteria	Synergistetes	0	0	1	1	0	1	0	1	1	2	1	2	5	0	0	2	1	0	2	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Bacteria	Tenericutes	0	2	1	3	0	0	0	3	0	7	4	3	4	1	1	0	3	0	0	10	3	0	2	0	0	2	1	0	2	0	0	1	0	0	1	0	0	0	0	0	15	6	6	21
Bacteria	Thermodesulfobacteria	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Thermotogae	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria	Unassigned	1197	1264	1262	2962	2491	1326	1215	2793	7833	5199	3930	3511	5006	1976	2392	2172	2591	1227	3339	1060	5993	1498	1475	989	1307	1452	1981	899	4679	1263	1433	2625	1	15	5	4	7	7	2	11	987	5467	3530	2917
Bacteria	Verrucomicrobia	856	1051	1098	2748	1786	1241	952	1951	3920	5196	2690	2637	4086	1574	1864	1762	2102	1098	2341	864	5017	1095	1106	842	822	1407	1398	800	2567	945	623	2563	0	0	0	0	0	0	0	0	567	4340	2326	1705
Bacteria	candidate_division_NC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	candidate_division_WWE3	0	0	0	5	0	0	0	1	0	2	0	0	0	0	3	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Chloroplast	Unassigned	113	279	54	180	194	105	77	70	241	511	54	158	308	27	93	82	157	10	178	56	111	44	342	75	71	83	229	58	59	16	96	207	0	0	0	0	0	0	0	0	137	76	267	126
Eukaryota	Annelida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Mucoromycota	0	2	279	2	1	2	0	0	2	1	1	2	18	0	1	2	2	0	1	0	5	0	2	0	0	0	1	0	2	0	21	48	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Streptophyta	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	0	5	0	0	3	0	8	0	17	0	0	0
Eukaryota	Unassigned	15	1	1	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0
Mitochondria	Unassigned	19	34	32	30	27	8	12	9	48	54	6	13	23	7	9	14	24	9	22	11	46	6	23	8	6	6	16	2	45	6	36	38	0	0	0	0	0	0	0	0	12	5	31	38
Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
